사업명,사업대분류,사업세부분류,자치구,면적,위치,용도지역(기존),용도지역(변경),용적률,건폐율,층수(지상/지하),높이,공급세대,분양,임대,임대비율,유형,권역,추진단계,추진일시,자료기준일,시 담당부서,시 연락처,구 담당부서,구 연락처
방화2구역,정비사업,신속통합기획,강서구,"34,900 ㎡",방화동 589-13 일대,-,-,,,,,,,,,신속통합기획,서남권,기획완료,2023.01.31,2025.05.31,서울특별시 신속통합기획과,2133-1693,강서구 도시재생과,2600-6747
번동 148,정비사업,신속통합기획,강북구,"97,536 ㎡",번동 148 일대,-,-,,,,,,,,,신속통합기획,동북권,대상지선정(추진중),2024.10.23,2025.05.31,서울특별시 신속통합기획과,2133-1687,강북구 주거정비과,901-2555
번동 441-3일대,정비사업,신속통합기획,강북구,"34,190 ㎡",번동 441-3일대,-,-,,,,,,,,,신속통합기획,동북권,기획완료,2023.12.28,2025.05.31,서울특별시 신속통합기획과,2133-1687,강북구 주거정비과,901-2555
번동주공1단지,정비사업,신속통합기획,강북구,"75,682.5 ㎡",번동 242 일대,-,-,,,,,,,,,신속통합기획,동북권,대상지선정(추진중),2025.02.17,2025.05.31,서울특별시 신속통합기획과,2133-1694,강북구 주거정비과,901-2555
법원단지1,정비사업,신속통합기획,관악구,"196,841 ㎡",신림동 610-220 일대,-,-,,,,,,,,,신속통합기획,서남권,대상지선정(추진중),2025.04.28,2025.05.31,서울특별시 신속통합기획과,2133-1689,관악구 주택과,879-6392
보광아파트,정비사업,재건축(공동),구로구,"32,953 ㎡",구로동 440,"제2종(7층),제2종,제3종일반","제2종(7층),제2종,제3종일반",243.53%,25.49%,2/20,-,675세대,675,-,-,재건축(공동),서남권,사업시행인가,2023.03.10,2025.05.31,서울특별시 공동주택과,2133-7148,구로구 주택과,860-2942
보문5,정비사업,재개발(주택정비형),성북구,"8,862.3 ㎡",보문동1가 196-11,"제2종(7층)일반,준주거",준주거,295.79%,39.95%,2/27,84.69,199세대,199,-,-,재개발(주택정비형),동북권,착공,2023.06.08,2025.05.31,서울특별시 주거정비과,2133-7232,성북구 주거정비과,2241-2863
본동,정비사업,재개발(주택정비형),동작구,"51,696 ㎡",본동 47번지 일대,"제1종,제2종,제3종일반,일반상업","제1종,제2종,제3종일반,일반상업",-,-,-,-,-세대,-,-,-,재개발(주택정비형),서남권,입안제안,2021.02.24,2025.05.31,서울특별시 주거정비과,2133-7238,동작구 도시정비1과,820-9802
봉천13,정비사업,재개발(주택정비형),관악구,"12,272.5 ㎡",봉천동 922-1,제3종일반,준주거,499.86%,56.02%,23층이하,80,438세대,283,155,35.39%,재개발(주택정비형),서남권,조합설립인가,2022.02.10,2025.05.31,서울특별시 주거정비과,2133-7208,관악구 주택과,879-6306
봉천14,정비사업,재개발(주택정비형),관악구,"54,817.7 ㎡",봉천동 1-13,제3종일반,제3종일반,250%,50%,27층이하,86,"1,571세대","1,346",225,14.32%,재개발(주택정비형),서남권,건축심의,2023.08.29,2025.05.31,서울특별시 주거정비과,2133-7208,관악구 주택과,879-6304
봉천4-1-3,정비사업,재개발(주택정비형),관악구,"30,080.9 ㎡",봉천동 480,"제2종(7층),제3종일반","제2종(7층),제3종일반",259.53%,27.01%,3/28,83.15,855세대,694,161,18.83%,재개발(주택정비형),서남권,사업시행인가,2024.05.30,2025.05.31,서울특별시 주거정비과,2133-7208,관악구 주택과,879-6303
