순번,자치구,구역명,위치,공공/민간,일반/재촉지구,사업유형,사업추진단계,기존 가구수(멸실량),최초,변경(최종),추진위원회,조합설립인가(사업시행자 지정일),건축심의,사업시행인가_최초,사업시행인가_변경(최종),관리처분계획인가_최초,관리처분계획인가_변경(최종),이주시작일,이주종료일,착공,세대총합계,분양,임대
250,마포구,마포로1-34,도화동 169-1,민간,일반,도시정비형 재개발,건축심의,0,1979-09-21,2022-06-16,,,2023-01-16,,,,,,,,44,0,44
97,용산구,산호아파트,원효로4가 118-16,민간,일반,아파트지구 재건축,사업시행,555,2020-01-09,2022-06-24,2005-03-11,2017-08-31,2021-04-15,2024-03-29,,,,,,,647,574,73
251,마포구,마포로3-3,아현동 613-10,민간,일반,도시정비형 재개발,착공,117,1979-09-21,,,,2008-09-18,2009-03-12,2020-06-25,2020-08-27,,2021-01-25,,2023-11-21,239,239,0
252,마포구,마포로1-48,신공덕동 27-8,민간,일반,도시정비형 재개발,착공,0,1979-09-21,,,,2019-11-25,2020-06-18,2022-12-22,2021-03-25,,2020-07-01,2021-04-01,2021-04-12,140,140,0
253,마포구,마포로1-58-2,도화동 16-1,민간,일반,도시정비형 재개발,관리처분,0,2004-05-15,2024-12-05,,,2021-12-09,2022-06-09,,2022-11-10,,,,,196,196,0
257,마포구,"마포로1-28,29",마포동 195-1 일대,민간,일반,도시정비형 재개발,착공,0,1979-09-21,,,,,2021-09-16,,2021-10-14,,,,2021-11-12,0,0,0
258,마포구,합정7,합정동 381-49 일대,민간,재촉,도시정비형 재개발,착공,63,2022-11-17,2022-11-17,,,2023-02-28,2023-08-10,2024-07-11,2023-12-07,,2021-09-01,2023-12-31,2024-12-30,198,165,33
220,서대문구,가재울7,북가좌동 80,민간,재촉,주택정비형 재개발,조합설립,"1,740",2012-06-07,2024-12-27,2007-05-02,2022-08-09,,,,,,,,,"1,506","1,297",209
223,서대문구,북아현2,북아현동 520,민간,재촉,주택정비형 재개발,사업시행,"2,532",2008-02-05,2008-02-05,2008-02-29,2009-03-27,2020-11-10,2009-12-08,2022-03-17,,,,,,"2,320","1,919",401
224,서대문구,북아현3,북아현동 3-66,민간,재촉,주택정비형 재개발,사업시행,"3,530",2008-02-05,2008-02-05,2008-03-17,2008-09-26,2023-07-11,2011-09-01,,,,,,,"4,739","3,927",812
226,서대문구,홍은13,홍은동 11-111,민간,일반,주택정비형 재개발,착공 ,909,2009-03-26,2016-06-08,2005-08-02,2009-09-04,2016-08-23,2011-04-20,2024-01-03,2018-07-11,2022-08-16,2019-01-22,2020-09-30,2021-07-15,827,686,141
227,서대문구,영천,영천동 69-20,민간,일반,주택정비형 재개발,착공,139,2006-02-23,2006-02-01,2006-09-01,2008-03-01,2021-11-01,2011-04-25,2023-12-01,2020-02-01,2024-01-17,2020-08-01,2021-05-01,2022-11-30,199,199,0
229,서대문구,연희1,연희동 533,민간,일반,주택정비형 재개발,착공,722,2007-06-21,2007-06-21,2004-09-06,2008-03-25,2018-04-17,2010-12-28,2021-02-09,2019-05-17,2024-04-03,2020-07-23,2024-04-22,2024-03-01,"1,002",796,206
232,서대문구,연희2,연희동 721-6,공공,일반,주택정비형 재개발,조합설립,789,2023-12-14,2023-12-14,,2024-03-13,,,,,,,,,"1,067",844,223
233,서대문구,충정로1,충정로3가281-11,공공,일반,주택정비형 재개발,구역지정,0,2024-12-19,,,,,,,,,,,,0,0,0
111,성동구,응봉1,응봉동 193-162,민간,일반,단독주택 재건축,사업시행,621,2011-10-27,2023-03-23,2006-08-29,2016-04-22,2021-07-27,2023-04-20,2023-04-20,,,,,,525,525,0
112,성동구,한남하이츠,옥수동 220-1,민간,일반,공동주택 재건축,사업시행,535,2017-02-16,2017-02-16,2003-12-26,2018-05-18,2019-05-28,2020-05-21,2020-05-21,,,,,,790,787,3
113,성동구,장미아파트,성수동1가 656-421,민간,일반,공동주택 재건축,착공,173,2016-09-08,2021-01-07,2004-01-26,2019-03-14,2020-08-04,2021-07-22,2024-03-07,2022-09-29,2024-11-28,2023-01-20,2023-05-30,2024-10-23,287,260,27
217,서대문구,마포로4-1,북아현동 876,민간,일반,도시정비형 재개발,구역지정,22,1979-09-21,2024-08-01,,,,,,,,,,,100,84,16
115,성동구,성수1,성수동1가 656-1267,민간,일반,단독주택 재건축,건축심의,143,2008-06-05,2022-10-20,2004-01-15,2020-08-06,2021-03-09,,,,,,,,272,254,18
218,서대문구,신촌2-2,창천동 18-42,민간,일반,도시정비형 재개발,사업시행,0,2014-08-21,2014-08-21,,,2021-08-21,2022-08-18,2024-09-04,,,,,,196,156,40
117,성동구,마장세림아파트,마장동 784,민간,일반,공동주택 재건축,조합설립,841,2022-06-23,2022-06-23,2023-02-20,2023-12-22,,,,,,,,,996,915,81
219,서대문구,마포로5-2,충정로3가 250-70,민간,일반,도시정비형 재개발,조합설립,78,1979-09-21,2023-11-02,2008-04-30,2024-07-31,,,,,,,,,192,192,0
119,광진구,신향빌라,중곡4동 18-24,민간,일반,공동주택 재건축,구역지정,156,2022-06-02,2022-06-02,,,,,,,,,,,329,308,21
221,서대문구,가재울8,남가좌동 289-54,민간,재촉,도시정비형 재개발,착공,255,2014-12-18,2014-12-18,2007-05-29,2015-09-17,2017-03-28,2017-09-04,2023-05-24,2019-06-19,2022-08-31,2021-07-01,2022-07-31,2022-11-25,283,237,46
121,광진구,자양7,자양동 464-40,민간,일반,단독주택 재건축,조합설립,432,2018-08-30,2018-08-30,2008-02-05,2021-10-03,,,,,,,,,917,874,43
122,광진구,자양한양아파트,자양동 695,민간,일반,공동주택 재건축,구역지정,444,2024-05-30,,,,,,,,,,,,859,652,207
123,광진구,중곡아파트,중곡동 190-26,공공,일반,공동주택 재건축,조합설립,276,2014-11-13,2025-03-27,2005-09-01,2022-07-19,,,,,,,,,348,306,42
222,서대문구,가재울9,남가좌동 295-5,민간,재촉,도시정비형 재개발,조합설립,118,2021-05-12,2021-05-06,,2021-05-12,,,,,,,,,239,166,73
225,서대문구,홍제2,홍제동 326-5,민간,재촉,도시정비형 재개발,조합설립,83,2005-12-30,2014-12-18,2006-12-01,2015-05-14,,,,,,,,,124,106,18
234,서대문구,충현2구역,냉천동 171-1,민간,일반,도시정비형 재개발,구역지정,11,2024-08-16,2024-08-16,,,,,,,,,,,0,0,0
235,서대문구,홍은1,홍은동 48-163,공공,재촉,도시정비형 재개발,조합설립,157,2023-12-07,2023-12-07,,2024-01-31,,,,,,,,,329,219,110
236,서대문구,홍제3(재촉),홍제동 306-2,민간,재촉,도시정비형 재개발,추진위,0,,,2006-09-22,,,,,,,,,,0,0,0
114,성동구,장안평중고차매매센터,용답동 234,민간,일반,도시정비형 재개발,건축심의,0,2018-01-11,2018-01-11,2018-05-15,2020-03-23,2023-02-14,,,,,,,,0,0,0
118,성동구,왕십리역세권4,행당동248번지,민간,일반,도시정비형 재개발,추진위,62,2024-02-15,2024-02-15,2024-03-25,,,,,,,,,,0,0,0
104,성동구,성수전략1,성수동1가 72-10,민간,일반,주택정비형 재개발,조합설립,"3,121",2009-04-23,2011-02-17,2009-10-27,2017-07-18,,,,,,,,,"2,909","2,414",495
